2018-Jun-07 00:30:41.447505 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:46.614275 INFO    [protocol] [96.44.175.218:50562 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:46.614275 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:49.143900 INFO    [protocol] [96.44.175.218:35651 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:49.143900 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:51.673102 INFO    [protocol] [96.44.175.218:6281 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:51.673102 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:30:54.201788 INFO    [protocol] [96.44.175.218:29206 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:30:54.201788 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:02.007461 INFO    [protocol] [96.44.175.218:42121 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:02.007461 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:17.174884 INFO    [protocol] [96.44.175.218:9621 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:17.174884 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:21.487571 DEBUG   [node_server] Connecting to 203.111.7.215:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:21.954879 TRACE   [node_server] [203.111.7.215:15715 OUT] REMOTE PEERLIST: TIME_DELTA: -3, remote peerlist size=0
2018-Jun-07 00:31:21.955138 TRACE   [node_server] [203.111.7.215:15715 OUT] REMOTE PEERLIST: 
2018-Jun-07 00:31:21.955273 DEBUG   [node_server] [203.111.7.215:15715 OUT] CONNECTION HANDSHAKED OK AND CLOSED.
2018-Jun-07 00:31:23.957586 DEBUG   [node_server] Connecting to 192.48.88.88:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:24.893005 TRACE   [node_server] [96.44.175.218:43693 INC] NEW CONNECTION
2018-Jun-07 00:31:24.893184 INFO    [protocol] [96.44.175.218:43693 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:24.893184 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:24.893362 DEBUG   [protocol] Remote top block height: 23, id: 1f3211a188d35c36409569ae4648e4937935cb73c4d53f36c0f86b8fc777d216
2018-Jun-07 00:31:24.893436 TRACE   [protocol] [96.44.175.218:43693 INC] requesting synchronization
2018-Jun-07 00:31:24.893499 TRACE   [protocol] Observed height updated: 23
2018-Jun-07 00:31:24.893581 DEBUG   [node_server] [96.44.175.218:43693 INC] writeHandler started
2018-Jun-07 00:31:24.964299 DEBUG   [node_server] [96.44.175.218:43693 INC] Back ping connection to 96.44.175.218:15715 failed: TcpConnector::connect, connection failed
2018-Jun-07 00:31:24.964418 DEBUG   [node_server] COMMAND_HANDSHAKE
